,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
261,广西源正新能源汽车有限公司,紫象牌,纯电动城市客车,HQK6803BEVB,nan,2017,8,2480,8045,"3235,3430",12200,8350,92.90,磷酸铁锂蓄电池,9.20,131.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2000,永磁同步电机,69,nan,nan,nan,203,nan,0.229,nan,nan,配置ID： NC241095
262,重庆盛时达汽车有限公司,炫虎牌,纯电动厢式运输车,DAT5047XXYEVC,nan,2017,8,2160,5995,2870,4495,3200,82.40,磷酸铁锂蓄电池,nan,110.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/4000/1200,交流异步电机,85,nan,nan,nan,280,nan,0.456,nan,nan,配置ID： NC240412
263,四川新筑通工汽车有限公司,通工牌,纯电动城市客车,TG6102CBEV1,nan,2017,8,2500,10500,"3050,3265",16500,"10000,10300",172.80,磷酸铁锂蓄电池,17.10,97.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3400/2450,永磁同步电机,69,nan,nan,nan,300,nan,0.182,nan,nan,配置ID： NC238216
264,成都广通汽车有限公司,广通牌,纯电动城市客车,CAT6100CRBEVT,nan,2017,8,2500,10200,3160,14000,"10000,9500",70.66,钛酸锂电池,"15.50,14.80",nan,"5.06,5.19",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁同步电机,69,nan,nan,nan,nan,nan,0.231,nan,nan,配置ID： NC238456
265,成都广通汽车有限公司,广通牌,纯电动铰接城市客车,CAT6180DRBEVT,nan,2017,8,2550,18000,3350,28000,"18400,19500,20300",92.74,钛酸锂电池,"10.10,9.60,9.20",nan,5.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,220/2700/3000,永磁同步电机,69,nan,nan,nan,nan,nan,0.203,nan,nan,配置ID： NC238467
266,成都广通汽车有限公司,广通牌,纯电动城市客车,CAT6680CRBEVT,nan,2017,8,2290,6840,3060,9000,"6600,6400",33.12,钛酸锂电池,"10.50,10.20",nan,"5.11,5.05",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,138/2800/730,永磁同步电机,69,nan,nan,nan,nan,nan,0.219,nan,nan,配置ID： NC238416
267,奇瑞万达贵州客车股份有限公司,万达牌,插电式混合动力城市客车,WD6102CHEVN1,nan,2017,8,2500,10490,3420,16400,12100,49.46,磷酸铁锂蓄电池,5.60,nan,nan,nan,是,YC6J210N-52,广西玉柴机器股份有限公司,6494/155,nan,nan,nan,nan,nan,CNG/电混合动力,135/3500/1000,永磁同步电机,69,nan,75,nan,nan,nan,nan,nan,nan,配置ID： NC239812
268,奇瑞万达贵州客车股份有限公司,万达牌,纯电动客车,WD6602BEV6,nan,2017,8,1920,6010,2314,4350,2950,50.69,磷酸铁锂蓄电池,17.30,101.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/5000/700,永磁同步电机,100,nan,nan,nan,265,nan,0.229,nan,nan,配置ID： NC228937
269,贵州贵航云马汽车工业有限责任公司,云马牌,纯电动城市客车,YM6801BEVG,nan,2017,8,2250,8050,"2910,2980",9000,6150,92.16,磷酸铁锂蓄电池,12.40,118.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110/4000/1200,永磁同步电机,69,nan,nan,nan,255,nan,0.225,nan,nan,配置ID： NC229969
270,昆明客车制造有限公司,云海牌,纯电动厢式运输车,KK5030XXYEV04,nan,2017,8,1650,5165,2610,2980,1975,42.77,磷酸铁锂蓄电池,nan,93.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/7200/220,永磁同步电机,80,nan,nan,205,nan,nan,0.404,nan,nan,配置ID： NC230930
